Country,year,Urban population growth (annual %),Rural population growth (annual %),Mobile cellular subscriptions (per 100 people),Fixed broadband subscriptions (per 100 people),"Foreign direct investment, net inflows (% of GDP)","GNI per capita, Atlas method (current US$)","Primary education, duration (years)","Inflation, consumer prices (annual %)",Access to electricity (% of population),People using at least basic drinking water services (% of population),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,suicides_no,suicides/100k pop,gdp_per_capita ($),sex,age,generation
Canada,2008,1.30831924280004,0.14948458508938,66.13620397,29.46396102,4.52621091895271,44810.0,6.0,2.3702706744429403,100.0,99.6,7.486000000000001,10.738,0.9390000000000001,71.84,0.9259999999999999,0.262,0.37,308.75,10.6325,49041.0,0.0,3.0,3.0
Canada,2009,1.3679756074251699,0.213740945637612,70.47060993,30.452949,1.52655464082434,43110.0,6.0,0.29946680300928397,100.0,99.5,7.4879999999999995,10.697000000000001,0.943,72.02,0.915,0.24600000000000002,0.413,324.1666666666667,10.889166666666663,42933.0,0.0,3.0,3.0
Canada,2010,1.33536705317397,0.179337487708787,75.58210932,31.65795927,1.8415588342419198,44370.0,6.0,1.77687154092629,100.0,99.4,7.65,10.717,0.9540000000000001,72.2,0.934,0.23,0.413,329.25,11.055833333333334,49974.0,0.0,3.0,3.0
Canada,2011,1.18387317336981,0.150047228123456,77.71010667,32.66655803,2.142292213524,47060.0,6.0,2.91213508872355,100.0,99.3,7.426,10.738,0.922,72.36,0.951,0.253,0.433,310.6666666666667,10.418333333333335,54841.0,1.0,3.0,3.0
Canada,2012,1.23088999238439,0.9632213404367169,79.42532966,33.49477897,2.7066883554104,50900.0,6.0,1.51567823124521,100.0,99.2,7.415,10.744000000000002,0.948,72.52,0.9179999999999999,0.29,0.466,327.1666666666667,10.656666666666665,55347.0,1.0,3.0,3.0
Canada,2013,1.2001968591781298,0.9320887010583221,80.44136099,34.30517994,3.63869409374933,52620.0,6.0,0.9382918978152099,100.0,99.1,7.593999999999999,10.757,0.9359999999999999,72.68,0.9159999999999999,0.316,0.406,337.8333333333333,11.090833333333334,55310.0,1.0,3.0,3.0
Chile,2006,1.13199768279386,0.6166528358219711,76.29264515,6.19889028,4.9010189252585,7360.0,6.0,3.39201733699404,99.36810799999999,97.655196955259,6.063,9.85,0.836,68.66,0.7440000000000001,0.168,0.634,149.58333333333334,12.921666666666667,10270.0,0.0,3.0,4.0
Chile,2007,1.11454715401161,0.6060232082607501,84.61961472,7.896766413,7.761691958993749,8710.0,6.0,4.407799383980461,98.5563507080078,98.01218035542591,5.6979999999999995,9.887,0.815,68.72,0.662,0.244,0.723,154.0,12.576666666666668,11387.0,0.0,3.0,3.0
Chile,2008,1.0949462027745,0.575683605545278,88.80473237,8.565496147000001,10.283487668176,10080.0,6.0,8.716268730396099,98.8176727294922,98.3588823797093,5.789,9.911,0.804,68.78,0.64,0.084,0.741,174.0,13.99,11653.0,1.0,3.0,3.0
Chile,2009,1.06694556424759,0.5544950356969279,97.74669297,9.83203127,8.037105618325759,9980.0,6.0,0.353045178360941,99.593662,98.695694016797,6.494,9.885,0.8320000000000001,68.84,0.747,0.149,0.7340000000000001,179.0,14.525,11062.0,0.0,3.0,3.0
